work_year,job_title,job_category,salary_currency,salary_local,salary_in_usd,employee_residence,experience_level,employment_type,remote_ratio,company_location,company_country,company_size,data_source,work_setting_standardized
,"Data Analyst, Center on Immigration and Justice (CIJ)",,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Quality Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Reporting Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Business/Data Analyst (FP&A),,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Science Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,"Data Analyst, Merchant Health",,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,51500.0,51500.0,,,,,"Fairfield, NJ",United States,Small,Glassdoor Data Analyst Jobs,
,DATA ANALYST,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Senior Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Investment Advisory Data Analyst,,USA,51500.0,51500.0,,,,,"Jersey City, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,Sustainability Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Clinical Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,DATA PROGRAMMER/ANALYST,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,"Product Analyst, Data Science",,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Science Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,Data Analyst - Intex Developer,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Entry Level / Jr. Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data + Business Intelligence Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,"Data Analyst, Product",,USA,51500.0,51500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst Entry Level,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,51500.0,51500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
